widen one's horizon;mở rộng hiểu biết
a social atmosphere;một bầu không khí cởi mở
a sense of adventure;tính phiêu lưu
adjust to a new culture;thích ứng với văn hóa mới
give rise to sth;tăng sth
place a high value on sth;coi trọng cái gì
be expected to V;should V
take action;(v) hành động
seek out resources and support for sth;tìm kiếm tài nguyên và ủng hộ cho
accept a range of opinions;chấp nhận một loạt các ý kiến
treat everyone equally;đối xử với mọi người một cách công bằng
an illustration of this is sth;một ví dụ của điều này là
the concern with sth;sự lưu tâm tới điều gì
be critical of sth;phản biện điều gì
resent sth;căm phẫn điều gì
a firmly established friendship;một tình bạn bền vững
be intrigued by sth;được hấp dẫn bởi
a period of euphoria;giai đoạn hưng phấn
the letdown is inevitable;sự thất vọng là không thể tránh khỏi
feel withdrawn and irritable;cảm thấy khó chịu và thích cô lập
reorientation;tái định hướng
undergo a process of adaptation;trải qua một quá trình thích nghi
no longer V;
lodge with sb   :   stay/reside with sb;
keep sb informed;báo tin cho ai
be accustomed to;quen với
adjust (v);
concern (n);lưu tâm
evidence;
financial matter;
go wrong;
immigrant;dân nhập cư
internationally recognised qualifications;
make sense;
point of view;quan điểm
problem-solving skills;
surroundings;khung cảnh xung quanh
take something seriously;xem trọng điều gì
refer to sth;tham khảo
littering;xả rác
be away from sb/sth;tránh xa khỏi cái gì
go through several stages;
think outside the box;
cultural clash;xung đột về văn hóa
a high degree of mobility;tính dịch chuyển cao
deal successfully with the challenges;thành công vượt qua thử thách
the host culture;
remain invisible;luôn tàng hình
refugee;người tị nạn
