Base sth on sth;dựa vào sth
peer evaluation;sự đánh giá của bạn mình
authentic spoken language;ngôn ngữ nói thực tiễn
make sense out of the context;hiểu được mà ko cần văn cảnh
summer break;kì nghỉ hè
do some self-assessment of sth;tự đánh giá về sth
a short extract from sth;một đoạn trích từ đâu
look up sth on the website;tra sth trên mạng
is hard to recall;khó nhớ lại
some obvious main points;vài ý chính rõ ràng
make a selection;lựa chọn
consist entirely of short words;gồm toàn từ ngắn
be closely linked to sth;liên quan chặt chẽ tới sth
book sth in advance;đặt sth từ trước
a recent e-trade advertisement;một quảng cáo thương mại trên mạng gần đây
stock-buying activities;các hoạt động mua cổ phiếu
raise an important question;đưa một câu hỏi quan trọng
imitate;bắt chước
behaviourism;thuyết hành vi
scientific approach;phương pháp khoa học
cognitive science;khoa học nghiên cứu tư duy
language acquisition;sự tiếp nhận ngôn ngữ
to settle on;đồng ý với quyết định gì
a hypothesis;một giả thuyết
handle adult speech;xử lý bài nói của  người lớn
linguistic threshold;ngưỡng ngôn ngữ
trial and error;phương pháp học từ lỗi sai
to tackle the task;giải quyết nhiệm vụ
be bereft of sth;bị mất đi sth
albeit;mặc dù
at a faster clip;nhanh, fast
to gain enough vocabulary;có đủ lượng từ vựng
expand conversations;mở rộng hội thoại
potential answer;câu trả lời tiềm năng
achieve a proficiency;đạt được trình độ
a critical period;một giai đoạn quan trọng
mature brain;não trưởng thành
a gradual process;một quá trình dần dần
